Position,"Track Name",Artist,Streams,URL
1,"MONTERO (Call Me By Your Name)","Lil Nas X",14937,https://open.spotify.com/track/67BtfxlNbhBmCDR2L2l8qd
2,"Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit",Riton,11577,https://open.spotify.com/track/4cG7HUWYHBV6R6tHn1gxrl
3,"Peaches (feat. Daniel Caesar & Giveon)","Justin Bieber",11403,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
4,"Astronaut In The Ocean","Masked Wolf",10154,https://open.spotify.com/track/3VT8hOC5vuDXBsHrR53WFh
5,"The Business",Tiësto,8746,https://open.spotify.com/track/6f3Slt0GbA2bPZlz0aIFXN
6,"Levitating (feat. DaBaby)","Dua Lipa",6850,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
7,"Kiss Me More (feat. SZA)","Doja Cat",6181,https://open.spotify.com/track/748mdHapucXQri7IAO8yFK
8,"Your Love (9PM)",ATB,6078,https://open.spotify.com/track/5YaskwnGDZFDRipaqzbwQx
9,"Nech vidia 2",H16,6039,https://open.spotify.com/track/6wczpMFTzXjALgDRgn6I2d
10,"Paradise (feat. Dermot Kennedy)",MEDUZA,6021,https://open.spotify.com/track/6ft4hAq6yde8jPZY2i5zLr
