Position,"Track Name",Artist,Streams,URL
1,"MONTERO (Call Me By Your Name)","Lil Nas X",63859,https://open.spotify.com/track/67BtfxlNbhBmCDR2L2l8qd
2,"Peaches (feat. Daniel Caesar & Giveon)","Justin Bieber",51164,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
3,"Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit",Riton,50479,https://open.spotify.com/track/4cG7HUWYHBV6R6tHn1gxrl
4,"Astronaut In The Ocean","Masked Wolf",37181,https://open.spotify.com/track/3VT8hOC5vuDXBsHrR53WFh
5,"The Business",Tiësto,33453,https://open.spotify.com/track/6f3Slt0GbA2bPZlz0aIFXN
6,"Your Love (9PM)",ATB,32389,https://open.spotify.com/track/5YaskwnGDZFDRipaqzbwQx
7,"Cover Me In Sunshine",P!nk,32314,https://open.spotify.com/track/6Tio0ZoDeSQnI7EBAqWer2
8,"KIDS FROM THE BLOCK",Luciano,31998,https://open.spotify.com/track/26hbmLeqiz8loWjFshsegF
9,"Wellerman - Sea Shanty / 220 KID x Billen Ted Remix","Nathan Evans",29916,https://open.spotify.com/track/3iw6V4LH7yPj1ESORX9RIN
10,"Bonnie & Clyde 2",EAZ,27937,https://open.spotify.com/track/11HpaZgOavDflSWVuJcKGL
11,"Wasted Love (feat. Lagique)",Ofenbach,25937,https://open.spotify.com/track/2pPO9YecZimmuVQfIzfV6U
12,"Save Your Tears","The Weeknd",25001,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
13,"Levitating (feat. DaBaby)","Dua Lipa",24742,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
14,RAPSTAR,"Polo G",24671,https://open.spotify.com/track/43PGPuHIlVOc04jrZVh9L6
15,"Wellerman - Sea Shanty","Nathan Evans",24559,https://open.spotify.com/track/54OBgO0Xwu20Jak9TMXbR7
16,"Paradise (feat. Dermot Kennedy)",MEDUZA,24149,https://open.spotify.com/track/6ft4hAq6yde8jPZY2i5zLr
17,"Head & Heart (feat. MNEK)","Joel Corry",24147,https://open.spotify.com/track/6cx06DFPPHchuUAcTxznu9
